Port Number,Service Name,Transport Protocol,Description,Source
38200,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38210,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38301,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38400,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38589,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38593,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38600,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38700,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
38971,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
39129,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
39278,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
44818,EtherNet/IP,"tcp, udp",EtherNet/IP,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
45678,Foxboro/Invensys Foxboro DCS AIMAPI,"tcp, udp",Foxboro/Invensys Foxboro DCS AIMAPI,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
47808,BACnet/IP,udp,BACnet/IP,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50001,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50002,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50003,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50004,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50005,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50006,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50007,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50008,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50009,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50010,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50011,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50012,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50013,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50014,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50015,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50016,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50018,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
50019,Siemens Spectrum Power TG,tcp,Siemens Spectrum Power TG,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
