Port Number,Service Name,Transport Protocol,Description,Source,System Type
7229,citrixuppg,"tcp, udp",Citrix UPP Gateway,IANA,IT
7234,asa-gateways,"tcp, udp",Traffic forwarding for Okta cloud infra,IANA,IT
7235,aspcoordination,"tcp, udp",ASP Coordination Protocol,IANA,IT
7236,display,"tcp, udp",Wi-Fi Alliance Wi-Fi Display Protocol,IANA,IT
7237,pads,"tcp, udp",PADS (Public Area Display System) Server,IANA,IT
7244,"frc-hicp-disc, frc-hicp","tcp, udp",FrontRow Calypso Human Interface Control Protocol,IANA,IT
7262,cnap,"tcp, udp",Calypso Network Access Protocol,IANA,IT
7272,watchme-7272,"tcp, udp",WatchMe Monitoring 7272,IANA,IT
7273,oma-rlp,"tcp, udp",OMA Roaming Location,IANA,IT
7274,oma-rlp-s,"tcp, udp",OMA Roaming Location SEC,IANA,IT
7275,oma-ulp,"tcp, udp",OMA UserPlane Location,IANA,IT
7276,oma-ilp,"tcp, udp",OMA Internal Location Protocol,IANA,IT
7277,oma-ilp-s,"tcp, udp",OMA Internal Location Secure Protocol,IANA,IT
7278,oma-dcdocbs,"tcp, udp",OMA Dynamic Content Delivery over CBS,IANA,IT
7279,ctxlic,"tcp, udp",Citrix Licensing,IANA,IT
7280,itactionserver1,"tcp, udp",ITACTIONSERVER 1,IANA,IT
7281,itactionserver2,"tcp, udp",ITACTIONSERVER 2,IANA,IT
7282,"mzca-alert, mzca-action","tcp, udp","eventACTION/ussACTION (MZCA) server, eventACTION/ussACTION (MZCA) alert",IANA,IT
7283,genstat,"tcp, udp",General Statistics Rendezvous Protocol,IANA,IT
7300,swx,,The Swiss Exchange,IANA,IT
7301,swx,,The Swiss Exchange,IANA,IT
7302,swx,,The Swiss Exchange,IANA,IT
7303,swx,,The Swiss Exchange,IANA,IT
7304,swx,,The Swiss Exchange,IANA,IT
7305,swx,,The Swiss Exchange,IANA,IT
7306,swx,,The Swiss Exchange,IANA,IT
7307,swx,,The Swiss Exchange,IANA,IT
7308,swx,,The Swiss Exchange,IANA,IT
7309,swx,,The Swiss Exchange,IANA,IT
7310,swx,,The Swiss Exchange,IANA,IT
7311,swx,,The Swiss Exchange,IANA,IT
7312,swx,,The Swiss Exchange,IANA,IT
7313,swx,,The Swiss Exchange,IANA,IT
7314,swx,,The Swiss Exchange,IANA,IT
7315,swx,,The Swiss Exchange,IANA,IT
7316,swx,,The Swiss Exchange,IANA,IT
7317,swx,,The Swiss Exchange,IANA,IT
7318,swx,,The Swiss Exchange,IANA,IT
7319,swx,,The Swiss Exchange,IANA,IT
7320,swx,,The Swiss Exchange,IANA,IT
7321,swx,,The Swiss Exchange,IANA,IT
7322,swx,,The Swiss Exchange,IANA,IT
7323,swx,,The Swiss Exchange,IANA,IT
7324,swx,,The Swiss Exchange,IANA,IT
7325,swx,,The Swiss Exchange,IANA,IT
7326,swx,,The Swiss Exchange,IANA,IT
7327,swx,,The Swiss Exchange,IANA,IT
7328,swx,,The Swiss Exchange,IANA,IT
7329,swx,,The Swiss Exchange,IANA,IT
7330,swx,,The Swiss Exchange,IANA,IT
7331,swx,,The Swiss Exchange,IANA,IT
7332,swx,,The Swiss Exchange,IANA,IT
7333,swx,,The Swiss Exchange,IANA,IT
7334,swx,,The Swiss Exchange,IANA,IT
7335,swx,,The Swiss Exchange,IANA,IT
7336,swx,,The Swiss Exchange,IANA,IT
7337,swx,,The Swiss Exchange,IANA,IT
7338,swx,,The Swiss Exchange,IANA,IT
7339,swx,,The Swiss Exchange,IANA,IT
7340,swx,,The Swiss Exchange,IANA,IT
7341,swx,,The Swiss Exchange,IANA,IT
7342,swx,,The Swiss Exchange,IANA,IT
7343,swx,,The Swiss Exchange,IANA,IT
7344,swx,,The Swiss Exchange,IANA,IT
7345,swx,,The Swiss Exchange,IANA,IT
7346,swx,,The Swiss Exchange,IANA,IT
7347,swx,,The Swiss Exchange,IANA,IT
7348,swx,,The Swiss Exchange,IANA,IT
7349,swx,,The Swiss Exchange,IANA,IT
