Port Number,Service Name,Transport Protocol,Description,Source,System Type
0,,"tcp, udp",Reserved,IANA,IT
1,tcpmux,"tcp, udp",TCP Port Service Multiplexer,IANA,IT
4,,"tcp, udp",Unassigned,IANA,IT
5,rje,"tcp, udp",Remote Job Entry,IANA,IT
7,echo,"tcp, udp",Echo,IANA,IT
9,discard,"sctp, tcp, dccp, udp",Discard,IANA,IT
11,systat,"tcp, udp",Active Users,IANA,IT
13,daytime,"tcp, udp",Daytime,IANA,IT
15,,"tcp, udp",Unassigned [was netstat],IANA,IT
17,qotd,"tcp, udp",Quote of the Day,IANA,IT
18,msp,"tcp, udp",Message Send Protocol (historic),IANA,IT
19,chargen,"tcp, udp",Character Generator,IANA,IT
20,ftp-data,"sctp, tcp, udp","File Transfer [Default Data], FTP",IANA,IT
21,ftp,"sctp, tcp, udp","FTP, File Transfer Protocol [Control]",IANA,IT
22,ssh,"sctp, tcp, udp","SSH, The Secure Shell (SSH) Protocol",IANA,IT
23,telnet,"tcp, udp",Telnet,IANA,IT
24,,"tcp, udp",any private mail system,IANA,IT
25,smtp,"tcp, udp",Simple Mail Transfer,IANA,IT
27,nsw-fe,"tcp, udp",NSW User System FE,IANA,IT
29,msg-icp,"tcp, udp",MSG ICP,IANA,IT
31,msg-auth,"tcp, udp",MSG Authentication,IANA,IT
33,dsp,"tcp, udp",Display Support Protocol,IANA,IT
35,,"tcp, udp",any private printer server,IANA,IT
37,time,"tcp, udp",Time,IANA,IT
38,rap,"tcp, udp",Route Access Protocol,IANA,IT
39,rlp,"tcp, udp",Resource Location Protocol,IANA,IT
41,graphics,"tcp, udp",Graphics,IANA,IT
42,"nameserver, name","tcp, udp",Host Name Server,IANA,IT
43,nicname,"tcp, udp",Who Is,IANA,IT
44,mpm-flags,"tcp, udp",MPM FLAGS Protocol,IANA,IT
45,mpm,"tcp, udp",Message Processing Module [recv],IANA,IT
46,mpm-snd,"tcp, udp",MPM [default send],IANA,IT
48,auditd,"tcp, udp",Digital Audit Daemon,IANA,IT
49,tacacs,"tcp, udp",Login Host Protocol (TACACS),IANA,IT
50,re-mail-ck,"tcp, udp",Remote Mail Checking Protocol,IANA,IT
51,,,Reserved,IANA,IT
52,xns-time,"tcp, udp",XNS Time Protocol,IANA,IT
53,domain,"tcp, udp",Domain Name Server,IANA,IT
54,xns-ch,"tcp, udp",XNS Clearinghouse,IANA,IT
55,isi-gl,"tcp, udp",ISI Graphics Language,IANA,IT
56,xns-auth,"tcp, udp",XNS Authentication,IANA,IT
57,,"tcp, udp",any private terminal access,IANA,IT
58,xns-mail,"tcp, udp",XNS Mail,IANA,IT
59,,"tcp, udp",any private file service,IANA,IT
62,acas,"tcp, udp",ACA Services,IANA,IT
63,"whoispp, whois++","tcp, udp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""., whois++",IANA,IT
64,covia,"tcp, udp",Communications Integrator (CI),IANA,IT
65,tacacs-ds,"tcp, udp",TACACS-Database Service,IANA,IT
66,"sql-net, sql*net","tcp, udp","Oracle SQL*NET, Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",IANA,IT
67,bootps,"tcp, udp",Bootstrap Protocol Server,IANA,IT
68,bootpc,"tcp, udp",Bootstrap Protocol Client,IANA,IT
69,tftp,"tcp, udp",Trivial File Transfer,IANA,IT
70,gopher,"tcp, udp",Gopher,IANA,IT
71,netrjs-1,"tcp, udp",Remote Job Service,IANA,IT
72,netrjs-2,"tcp, udp",Remote Job Service,IANA,IT
73,netrjs-3,"tcp, udp",Remote Job Service,IANA,IT
74,netrjs-4,"tcp, udp",Remote Job Service,IANA,IT
75,,"tcp, udp",any private dial out service,IANA,IT
76,deos,"tcp, udp",Distributed External Object Store,IANA,IT
77,,"tcp, udp",any private RJE service,IANA,IT
78,vettcp,"tcp, udp",vettcp,IANA,IT
79,finger,"tcp, udp",Finger,IANA,IT
80,"www, www-http, http","sctp, tcp, udp","World Wide Web HTTP, HTTP",IANA,IT
81,,,Unassigned,IANA,IT
82,xfer,"tcp, udp",XFER Utility,IANA,IT
83,mit-ml-dev,"tcp, udp",MIT ML Device,IANA,IT
84,ctf,"tcp, udp",Common Trace Facility,IANA,IT
86,mfcobol,"tcp, udp",Micro Focus Cobol,IANA,IT
87,,"tcp, udp",any private terminal link,IANA,IT
88,kerberos,"tcp, udp",Kerberos,IANA,IT
89,su-mit-tg,"tcp, udp",SU/MIT Telnet Gateway,IANA,IT
90,dnsix,"tcp, udp",DNSIX Securit Attribute Token Map,IANA,IT
91,mit-dov,"tcp, udp",MIT Dover Spooler,IANA,IT
92,npp,"tcp, udp",Network Printing Protocol,IANA,IT
93,dcp,"tcp, udp",Device Control Protocol,IANA,IT
94,objcall,"tcp, udp",Tivoli Object Dispatcher,IANA,IT
95,supdup,"tcp, udp",SUPDUP,IANA,IT
96,dixie,"tcp, udp",DIXIE Protocol Specification,IANA,IT
97,swift-rvf,"tcp, udp",Swift Remote Virtural File Protocol,IANA,IT
98,tacnews,"tcp, udp",TAC News,IANA,IT
99,metagram,"tcp, udp",Metagram Relay,IANA,IT
101,hostname,"tcp, udp",NIC Host Name Server,IANA,IT
102,iso-tsap,"tcp, udp",ISO-TSAP Class 0,IANA,ICS
103,gppitnp,"tcp, udp",Genesis Point-to-Point Trans Net,IANA,IT
104,acr-nema,"tcp, udp",ACR-NEMA Digital Imag. & Comm. 300,IANA,IT
105,"csnet-ns, cso","tcp, udp","Mailbox Name Nameserver, CCSO name server protocol",IANA,IT
106,3com-tsmux,"tcp, udp",3COM-TSMUX,IANA,IT
107,rtelnet,"tcp, udp",Remote Telnet Service,IANA,IT
108,snagas,"tcp, udp",SNA Gateway Access Server,IANA,IT
109,pop2,"tcp, udp",Post Office Protocol - Version 2,IANA,IT
110,pop3,"tcp, udp",Post Office Protocol - Version 3,IANA,IT
111,sunrpc,"tcp, udp",SUN Remote Procedure Call,IANA,IT
112,mcidas,"tcp, udp",McIDAS Data Transmission Protocol,IANA,IT
113,"ident, auth","tcp, udp","nan, Authentication Service",IANA,IT
114,,,unassigned,IANA,IT
115,sftp,"tcp, udp",Simple File Transfer Protocol,IANA,IT
116,ansanotify,"tcp, udp",ANSA REX Notify,IANA,IT
117,uucp-path,"tcp, udp",UUCP Path Service,IANA,IT
118,sqlserv,"tcp, udp",SQL Services,IANA,IT
119,nntp,"tcp, udp",Network News Transfer Protocol,IANA,IT
120,cfdptkt,"tcp, udp",CFDPTKT,IANA,IT
121,erpc,"tcp, udp",Encore Expedited Remote Pro.Call,IANA,IT
122,smakynet,"tcp, udp",SMAKYNET,IANA,IT
123,ntp,"tcp, udp",Network Time Protocol,IANA,IT
124,ansatrader,"tcp, udp",ANSA REX Trader,IANA,IT
125,locus-map,"tcp, udp",Locus PC-Interface Net Map Ser,IANA,IT
126,nxedit,"tcp, udp",NXEdit,IANA,IT
127,locus-con,"tcp, udp",Locus PC-Interface Conn Server,IANA,IT
128,gss-xlicen,"tcp, udp",GSS X License Verification,IANA,IT
129,pwdgen,"tcp, udp",Password Generator Protocol,IANA,IT
130,cisco-fna,"tcp, udp",cisco FNATIVE,IANA,IT
131,cisco-tna,"tcp, udp",cisco TNATIVE,IANA,IT
132,cisco-sys,"tcp, udp",cisco SYSMAINT,IANA,IT
133,statsrv,"tcp, udp",Statistics Service,IANA,IT
134,ingres-net,"tcp, udp",INGRES-NET Service,IANA,IT
135,epmap,"tcp, udp",DCE endpoint resolution,IANA,IT
136,profile,"tcp, udp",PROFILE Naming System,IANA,IT
137,netbios-ns,"tcp, udp",NETBIOS Name Service,IANA,IT
138,netbios-dgm,"tcp, udp",NETBIOS Datagram Service,IANA,IT
139,netbios-ssn,"tcp, udp",NETBIOS Session Service,IANA,IT
140,emfis-data,"tcp, udp",EMFIS Data Service,IANA,IT
141,emfis-cntl,"tcp, udp",EMFIS Control Service,IANA,IT
142,bl-idm,"tcp, udp",Britton-Lee IDM,IANA,IT
143,imap,"tcp, udp",Internet Message Access Protocol,IANA,IT
144,uma,"tcp, udp",Universal Management Architecture,IANA,IT
145,uaac,"tcp, udp",UAAC Protocol,IANA,IT
146,iso-tp0,"tcp, udp",ISO-IP0,IANA,IT
147,iso-ip,"tcp, udp",ISO-IP,IANA,IT
148,jargon,"tcp, udp",Jargon,IANA,IT
149,aed-512,"tcp, udp",AED 512 Emulation Service,IANA,IT
150,sql-net,"tcp, udp",SQL-NET,IANA,IT
151,hems,"tcp, udp",HEMS,IANA,IT
152,bftp,"tcp, udp",Background File Transfer Program,IANA,IT
153,sgmp,"tcp, udp",SGMP,IANA,IT
154,netsc-prod,"tcp, udp",NETSC,IANA,IT
155,netsc-dev,"tcp, udp",NETSC,IANA,IT
156,sqlsrv,"tcp, udp",SQL Service,IANA,IT
157,knet-cmp,"tcp, udp",KNET/VM Command/Message Protocol,IANA,IT
158,pcmail-srv,"tcp, udp",PCMail Server,IANA,IT
159,nss-routing,"tcp, udp",NSS-Routing,IANA,IT
160,sgmp-traps,"tcp, udp",SGMP-TRAPS,IANA,IT
161,snmp,"tcp, udp",SNMP,IANA,IT
162,snmptrap,"tcp, udp",SNMPTRAP,IANA,IT
163,cmip-man,"tcp, udp",CMIP/TCP Manager,IANA,IT
164,cmip-agent,"tcp, udp",CMIP/TCP Agent,IANA,IT
165,xns-courier,"tcp, udp",Xerox,IANA,IT
166,s-net,"tcp, udp",Sirius Systems,IANA,IT
167,namp,"tcp, udp",NAMP,IANA,IT
168,rsvd,"tcp, udp",RSVD,IANA,IT
169,send,"tcp, udp",SEND,IANA,IT
170,print-srv,"tcp, udp",Network PostScript,IANA,IT
171,multiplex,"tcp, udp",Network Innovations Multiplex,IANA,IT
172,"cl/1, cl-1","tcp, udp","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""., Network Innovations CL/1",IANA,IT
173,xyplex-mux,"tcp, udp",Xyplex,IANA,IT
174,mailq,"tcp, udp",MAILQ,IANA,IT
175,vmnet,"tcp, udp",VMNET,IANA,IT
176,genrad-mux,"tcp, udp",GENRAD-MUX,IANA,IT
177,xdmcp,"tcp, udp",X Display Manager Control Protocol,IANA,IT
178,nextstep,"tcp, udp",NextStep Window Server,IANA,IT
179,bgp,"sctp, tcp, udp","Border Gateway Protocol, BGP",IANA,IT
180,ris,"tcp, udp",Intergraph,IANA,IT
181,unify,"tcp, udp",Unify,IANA,IT
182,audit,"tcp, udp",Unisys Audit SITP,IANA,IT
183,ocbinder,"tcp, udp",OCBinder,IANA,IT
184,ocserver,"tcp, udp",OCServer,IANA,IT
185,remote-kis,"tcp, udp",Remote-KIS,IANA,IT
186,kis,"tcp, udp",KIS Protocol,IANA,IT
187,aci,"tcp, udp",Application Communication Interface,IANA,IT
188,mumps,"tcp, udp",Plus Five's MUMPS,IANA,IT
189,qft,"tcp, udp",Queued File Transport,IANA,IT
190,gacp,"tcp, udp",Gateway Access Control Protocol,IANA,IT
191,prospero,"tcp, udp",Prospero Directory Service,IANA,IT
192,osu-nms,"tcp, udp",OSU Network Monitoring System,IANA,IT
193,srmp,"tcp, udp",Spider Remote Monitoring Protocol,IANA,IT
194,irc,"tcp, udp",Internet Relay Chat Protocol,IANA,IT
195,dn6-nlm-aud,"tcp, udp",DNSIX Network Level Module Audit,IANA,IT
196,dn6-smm-red,"tcp, udp",DNSIX Session Mgt Module Audit Redir,IANA,IT
197,dls,"tcp, udp",Directory Location Service,IANA,IT
198,dls-mon,"tcp, udp",Directory Location Service Monitor,IANA,IT
199,smux,"tcp, udp",SMUX,IANA,IT
200,src,"tcp, udp",IBM System Resource Controller,IANA,IT
201,at-rtmp,"tcp, udp",AppleTalk Routing Maintenance,IANA,IT
202,at-nbp,"tcp, udp",AppleTalk Name Binding,IANA,IT
203,at-3,"tcp, udp",AppleTalk Unused,IANA,IT
204,at-echo,"tcp, udp",AppleTalk Echo,IANA,IT
205,at-5,"tcp, udp",AppleTalk Unused,IANA,IT
206,at-zis,"tcp, udp",AppleTalk Zone Information,IANA,IT
207,at-7,"tcp, udp",AppleTalk Unused,IANA,IT
208,at-8,"tcp, udp",AppleTalk Unused,IANA,IT
209,qmtp,"tcp, udp",The Quick Mail Transfer Protocol,IANA,IT
210,"z39-50, z39.50","tcp, udp","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""., ANSI Z39.50",IANA,IT
211,"914c-g, 914c/g","tcp, udp","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""., Texas Instruments 914C/G Terminal",IANA,IT
212,anet,"tcp, udp",ATEXSSTR,IANA,IT
213,ipx,"tcp, udp",IPX,IANA,IT
214,vmpwscs,"tcp, udp",VM PWSCS,IANA,IT
215,softpc,"tcp, udp",Insignia Solutions,IANA,IT
216,CAIlic,"tcp, udp",Computer Associates Int'l License Server,IANA,IT
217,dbase,"tcp, udp",dBASE Unix,IANA,IT
218,mpp,"tcp, udp",Netix Message Posting Protocol,IANA,IT
219,uarps,"tcp, udp",Unisys ARPs,IANA,IT
220,imap3,"tcp, udp",Interactive Mail Access Protocol v3,IANA,IT
221,fln-spx,"tcp, udp",Berkeley rlogind with SPX auth,IANA,IT
222,rsh-spx,"tcp, udp",Berkeley rshd with SPX auth,IANA,IT
223,cdc,"tcp, udp",Certificate Distribution Center,IANA,IT
224,masqdialer,"tcp, udp",masqdialer,IANA,IT
225,,,Reserved,IANA,IT
226,,,Reserved,IANA,IT
227,,,Reserved,IANA,IT
228,,,Reserved,IANA,IT
229,,,Reserved,IANA,IT
230,,,Reserved,IANA,IT
231,,,Reserved,IANA,IT
232,,,Reserved,IANA,IT
233,,,Reserved,IANA,IT
234,,,Reserved,IANA,IT
235,,,Reserved,IANA,IT
236,,,Reserved,IANA,IT
237,,,Reserved,IANA,IT
238,,,Reserved,IANA,IT
239,,,Reserved,IANA,IT
240,,,Reserved,IANA,IT
241,,,Reserved,IANA,IT
242,direct,"tcp, udp",Direct,IANA,IT
243,sur-meas,"tcp, udp",Survey Measurement,IANA,IT
244,inbusiness,"tcp, udp",inbusiness,IANA,IT
245,link,"tcp, udp",LINK,IANA,IT
246,dsp3270,"tcp, udp",Display Systems Protocol,IANA,IT
247,"subntbcst-tftp, subntbcst_tftp","tcp, udp","SUBNTBCST_TFTP, SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp"".",IANA,IT
248,bhfhs,"tcp, udp",bhfhs,IANA,IT
256,rap,"tcp, udp",RAP,IANA,IT
257,set,"tcp, udp",Secure Electronic Transaction,IANA,IT
259,esro-gen,"tcp, udp",Efficient Short Remote Operations,IANA,IT
260,openport,"tcp, udp",Openport,IANA,IT
261,nsiiops,"tcp, udp",IIOP Name Service over TLS/SSL,IANA,IT
262,arcisdms,"tcp, udp",Arcisdms,IANA,IT
263,hdap,"tcp, udp",HDAP,IANA,IT
264,bgmp,"tcp, udp",BGMP,IANA,IT
265,x-bone-ctl,"tcp, udp",X-Bone CTL,IANA,IT
266,sst,"tcp, udp",SCSI on ST,IANA,IT
267,td-service,"tcp, udp",Tobit David Service Layer,IANA,IT
268,td-replica,"tcp, udp",Tobit David Replica,IANA,IT
269,manet,"tcp, udp",MANET Protocols,IANA,IT
270,gist,"tcp, udp",Q-mode encapsulation for GIST messages,IANA,IT
271,pt-tls,"tcp, udp",IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),IANA,IT
272,,,Unassigned,IANA,IT
273,,,Unassigned,IANA,IT
274,,,Unassigned,IANA,IT
275,,,Unassigned,IANA,IT
276,,,Unassigned,IANA,IT
277,,,Unassigned,IANA,IT
278,,,Unassigned,IANA,IT
279,,,Unassigned,IANA,IT
280,http-mgmt,"tcp, udp",http-mgmt,IANA,IT
281,personal-link,"tcp, udp",Personal Link,IANA,IT
282,cableport-ax,"tcp, udp",Cable Port A/X,IANA,IT
283,rescap,"tcp, udp",rescap,IANA,IT
284,corerjd,"tcp, udp",corerjd,IANA,IT
286,fxp,"tcp, udp",FXP Communication,IANA,IT
287,k-block,"tcp, udp",K-BLOCK,IANA,IT
308,novastorbakcup,"tcp, udp",Novastor Backup,IANA,IT
309,entrusttime,"tcp, udp",EntrustTime,IANA,IT
310,bhmds,"tcp, udp",bhmds,IANA,IT
311,asip-webadmin,"tcp, udp",AppleShare IP WebAdmin,IANA,IT
312,vslmp,"tcp, udp",VSLMP,IANA,IT
313,magenta-logic,"tcp, udp",Magenta Logic,IANA,IT
314,opalis-robot,"tcp, udp",Opalis Robot,IANA,IT
315,dpsi,"tcp, udp",DPSI,IANA,IT
316,decauth,"tcp, udp",decAuth,IANA,IT
317,zannet,"tcp, udp",Zannet,IANA,IT
318,pkix-timestamp,"tcp, udp",PKIX TimeStamp,IANA,IT
319,ptp-event,"tcp, udp",PTP Event,IANA,IT
320,ptp-general,"tcp, udp",PTP General,IANA,IT
321,pip,"tcp, udp",PIP,IANA,IT
322,rtsps,"tcp, udp",RTSPS,IANA,IT
323,rpki-rtr,"tcp, udp",Resource PKI to Router Protocol,IANA,IT
324,rpki-rtr-tls,"tcp, udp",Resource PKI to Router Protocol over TLS,IANA,IT
333,texar,"tcp, udp",Texar Security Port,IANA,IT
344,pdap,"tcp, udp",Prospero Data Access Protocol,IANA,IT
345,pawserv,"tcp, udp",Perf Analysis Workbench,IANA,IT
346,zserv,"tcp, udp",Zebra server,IANA,IT
347,fatserv,"tcp, udp",Fatmen Server,IANA,IT
348,csi-sgwp,"tcp, udp",Cabletron Management Protocol,IANA,IT
349,mftp,"tcp, udp",mftp,IANA,IT
350,matip-type-a,"tcp, udp",MATIP Type A,IANA,IT
351,"bhoetty, matip-type-b","tcp, udp","MATIP Type B, bhoetty",IANA,IT
352,"bhoedap4, dtag-ste-sb","tcp, udp","DTAG, bhoedap4",IANA,IT
353,ndsauth,"tcp, udp",NDSAUTH,IANA,IT
354,bh611,"tcp, udp",bh611,IANA,IT
355,datex-asn,"tcp, udp",DATEX-ASN,IANA,IT
356,cloanto-net-1,"tcp, udp",Cloanto Net 1,IANA,IT
357,bhevent,"tcp, udp",bhevent,IANA,IT
358,shrinkwrap,"tcp, udp",Shrinkwrap,IANA,IT
360,scoi2odialog,"tcp, udp",scoi2odialog,IANA,IT
361,semantix,"tcp, udp",Semantix,IANA,IT
362,srssend,"tcp, udp",SRS Send,IANA,IT
363,"rsvp-tunnel, rsvp_tunnel","tcp, udp","RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""., RSVP Tunnel",IANA,IT
364,aurora-cmgr,"tcp, udp",Aurora CMGR,IANA,IT
365,dtk,"tcp, udp",DTK,IANA,IT
366,odmr,"tcp, udp",ODMR,IANA,IT
367,mortgageware,"tcp, udp",MortgageWare,IANA,IT
368,qbikgdp,"tcp, udp",QbikGDP,IANA,IT
369,rpc2portmap,"tcp, udp",rpc2portmap,IANA,IT
370,codaauth2,"tcp, udp",codaauth2,IANA,IT
371,clearcase,"tcp, udp",Clearcase,IANA,IT
372,ulistproc,"tcp, udp",ListProcessor,IANA,IT
373,legent-1,"tcp, udp",Legent Corporation,IANA,IT
374,legent-2,"tcp, udp",Legent Corporation,IANA,IT
375,hassle,"tcp, udp",Hassle,IANA,IT
376,nip,"tcp, udp",Amiga Envoy Network Inquiry Protocol,IANA,IT
377,tnETOS,"tcp, udp",NEC Corporation,IANA,IT
378,dsETOS,"tcp, udp",NEC Corporation,IANA,IT
379,is99c,"tcp, udp",TIA/EIA/IS-99 modem client,IANA,IT
380,is99s,"tcp, udp",TIA/EIA/IS-99 modem server,IANA,IT
381,hp-collector,"tcp, udp",hp performance data collector,IANA,IT
382,hp-managed-node,"tcp, udp",hp performance data managed node,IANA,IT
383,hp-alarm-mgr,"tcp, udp",hp performance data alarm manager,IANA,IT
384,arns,"tcp, udp",A Remote Network Server System,IANA,IT
385,ibm-app,"tcp, udp",IBM Application,IANA,IT
386,asa,"tcp, udp",ASA Message Router Object Def.,IANA,IT
387,aurp,"tcp, udp",Appletalk Update-Based Routing Pro.,IANA,IT
388,unidata-ldm,"tcp, udp",Unidata LDM,IANA,IT
389,ldap,"tcp, udp",Lightweight Directory Access Protocol,IANA,IT
390,uis,"tcp, udp",UIS,IANA,IT
391,synotics-relay,"tcp, udp",SynOptics SNMP Relay Port,IANA,IT
392,synotics-broker,"tcp, udp",SynOptics Port Broker Port,IANA,IT
393,meta5,"tcp, udp",Meta5,IANA,IT
394,embl-ndt,"tcp, udp",EMBL Nucleic Data Transfer,IANA,IT
395,netcp,"tcp, udp",NetScout Control Protocol,IANA,IT
396,netware-ip,"tcp, udp",Novell Netware over IP,IANA,IT
397,mptn,"tcp, udp",Multi Protocol Trans. Net.,IANA,IT
398,kryptolan,"tcp, udp",Kryptolan,IANA,IT
399,iso-tsap-c2,"tcp, udp","ISO Transport Class 2 Non-Control over UDP, ISO Transport Class 2 Non-Control over TCP",IANA,IT
400,osb-sd,"tcp, udp",Oracle Secure Backup,IANA,IT
401,ups,"tcp, udp",Uninterruptible Power Supply,IANA,IT
402,genie,"tcp, udp",Genie Protocol,IANA,IT
403,decap,"tcp, udp",decap,IANA,IT
404,nced,"tcp, udp",nced,IANA,IT
405,ncld,"tcp, udp",ncld,IANA,IT
406,imsp,"tcp, udp",Interactive Mail Support Protocol,IANA,IT
407,timbuktu,"tcp, udp",Timbuktu,IANA,IT
408,prm-sm,"tcp, udp",Prospero Resource Manager Sys. Man.,IANA,IT
409,prm-nm,"tcp, udp",Prospero Resource Manager Node Man.,IANA,IT
410,decladebug,"tcp, udp",DECLadebug Remote Debug Protocol,IANA,IT
411,rmt,"tcp, udp",Remote MT Protocol,IANA,IT
412,synoptics-trap,"tcp, udp",Trap Convention Port,IANA,IT
413,smsp,"tcp, udp",Storage Management Services Protocol,IANA,IT
414,infoseek,"tcp, udp",InfoSeek,IANA,IT
415,bnet,"tcp, udp",BNet,IANA,IT
416,silverplatter,"tcp, udp",Silverplatter,IANA,IT
417,onmux,"tcp, udp",Onmux,IANA,IT
418,hyper-g,"tcp, udp",Hyper-G,IANA,IT
419,ariel1,"tcp, udp",Ariel 1,IANA,IT
420,smpte,"tcp, udp",SMPTE,IANA,IT
421,ariel2,"tcp, udp",Ariel 2,IANA,IT
422,ariel3,"tcp, udp",Ariel 3,IANA,IT
423,opc-job-start,"tcp, udp",IBM Operations Planning and Control Start,IANA,IT
424,opc-job-track,"tcp, udp",IBM Operations Planning and Control Track,IANA,IT
425,icad-el,"tcp, udp",ICAD,IANA,IT
426,smartsdp,"tcp, udp",smartsdp,IANA,IT
427,svrloc,"tcp, udp",Server Location,IANA,IT
428,"ocs-cmu, ocs_cmu","tcp, udp","OCS_CMU, OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu"".",IANA,IT
429,"ocs_amu, ocs-amu","tcp, udp","OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu""., OCS_AMU",IANA,IT
430,utmpsd,"tcp, udp",UTMPSD,IANA,IT
431,utmpcd,"tcp, udp",UTMPCD,IANA,IT
432,iasd,"tcp, udp",IASD,IANA,IT
433,nnsp,"tcp, udp",NNTP for transit servers (NNSP),IANA,IT
434,mobileip-agent,"tcp, udp",MobileIP-Agent,IANA,IT
435,mobilip-mn,"tcp, udp",MobilIP-MN,IANA,IT
436,dna-cml,"tcp, udp",DNA-CML,IANA,IT
437,comscm,"tcp, udp",comscm,IANA,IT
438,dsfgw,"tcp, udp",dsfgw,IANA,IT
439,dasp,"tcp, udp",dasp,IANA,IT
440,sgcp,"tcp, udp",sgcp,IANA,IT
441,decvms-sysmgt,"tcp, udp",decvms-sysmgt,IANA,IT
442,"cvc-hostd, cvc_hostd","tcp, udp","cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd""., cvc_hostd",IANA,IT
443,https,"sctp, tcp, udp","HTTPS, http protocol over TLS/SSL",IANA,IT
444,snpp,"tcp, udp",Simple Network Paging Protocol,IANA,IT
445,microsoft-ds,"tcp, udp",Microsoft-DS,IANA,IT
446,ddm-rdb,"tcp, udp",DDM-Remote Relational Database Access,IANA,IT
447,ddm-dfm,"tcp, udp",DDM-Distributed File Management,IANA,IT
448,ddm-ssl,"tcp, udp",DDM-Remote DB Access Using Secure Sockets,IANA,IT
449,as-servermap,"tcp, udp",AS Server Mapper,IANA,IT
450,tserver,"tcp, udp",Computer Supported Telecomunication Applications,IANA,IT
451,sfs-smp-net,"tcp, udp",Cray Network Semaphore server,IANA,IT
452,sfs-config,"tcp, udp",Cray SFS config server,IANA,IT
453,creativeserver,"tcp, udp",CreativeServer,IANA,IT
454,contentserver,"tcp, udp",ContentServer,IANA,IT
455,creativepartnr,"tcp, udp",CreativePartnr,IANA,IT
456,"macon-tcp, macon-udp","tcp, udp","macon-tcp, macon-udp",IANA,IT
457,scohelp,"tcp, udp",scohelp,IANA,IT
458,appleqtc,"tcp, udp",apple quick time,IANA,IT
459,ampr-rcmd,"tcp, udp",ampr-rcmd,IANA,IT
460,skronk,"tcp, udp",skronk,IANA,IT
461,datasurfsrv,"tcp, udp",DataRampSrv,IANA,IT
462,datasurfsrvsec,"tcp, udp",DataRampSrvSec,IANA,IT
463,alpes,"tcp, udp",alpes,IANA,IT
464,kpasswd,"tcp, udp",kpasswd,IANA,IT
465,"urd, igmpv3lite, submissions","tcp, udp","IGMP over UDP for SSM, URL Rendezvous Directory for SSM, Message Submission over TLS protocol",IANA,IT
466,digital-vrc,"tcp, udp",digital-vrc,IANA,IT
467,mylex-mapd,"tcp, udp",mylex-mapd,IANA,IT
468,photuris,"tcp, udp",proturis,IANA,IT
469,rcp,"tcp, udp",Radio Control Protocol,IANA,IT
470,scx-proxy,"tcp, udp",scx-proxy,IANA,IT
471,mondex,"tcp, udp",Mondex,IANA,IT
472,ljk-login,"tcp, udp",ljk-login,IANA,IT
473,hybrid-pop,"tcp, udp",hybrid-pop,IANA,IT
474,"tn-tl-w2, tn-tl-w1","tcp, udp","tn-tl-w2, tn-tl-w1",IANA,IT
475,tcpnethaspsrv,"tcp, udp",tcpnethaspsrv,IANA,IT
476,tn-tl-fd1,"tcp, udp",tn-tl-fd1,IANA,IT
477,ss7ns,"tcp, udp",ss7ns,IANA,IT
478,spsc,"tcp, udp",spsc,IANA,IT
479,iafserver,"tcp, udp",iafserver,IANA,IT
480,iafdbase,"tcp, udp",iafdbase,IANA,IT
481,ph,"tcp, udp",Ph service,IANA,IT
482,bgs-nsi,"tcp, udp",bgs-nsi,IANA,IT
483,ulpnet,"tcp, udp",ulpnet,IANA,IT
484,integra-sme,"tcp, udp",Integra Software Management Environment,IANA,IT
485,powerburst,"tcp, udp",Air Soft Power Burst,IANA,IT
486,avian,"tcp, udp",avian,IANA,IT
487,saft,"tcp, udp",saft Simple Asynchronous File Transfer,IANA,IT
488,gss-http,"tcp, udp",gss-http,IANA,IT
489,nest-protocol,"tcp, udp",nest-protocol,IANA,IT
490,micom-pfs,"tcp, udp",micom-pfs,IANA,IT
491,go-login,"tcp, udp",go-login,IANA,IT
492,ticf-1,"tcp, udp",Transport Independent Convergence for FNA,IANA,IT
493,ticf-2,"tcp, udp",Transport Independent Convergence for FNA,IANA,IT
494,pov-ray,"tcp, udp",POV-Ray,IANA,IT
495,intecourier,"tcp, udp",intecourier,IANA,IT
496,pim-rp-disc,"tcp, udp",PIM-RP-DISC,IANA,IT
497,retrospect,"tcp, udp",Retrospect backup and restore service,IANA,IT
498,siam,"tcp, udp",siam,IANA,IT
499,iso-ill,"tcp, udp",ISO ILL Protocol,IANA,IT
500,isakmp,"tcp, udp",isakmp,IANA,IT
501,stmf,"tcp, udp",STMF,IANA,IT
502,mbap,"tcp, udp",Modbus Application Protocol,IANA,ICS
503,intrinsa,"tcp, udp",Intrinsa,IANA,IT
